timestamp,symbol,regime,strategy,current_qty
2020-12-01,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-12-01,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-02,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-02,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-02,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-02,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-03,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-03,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-03,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-03,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-04,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-04,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-04,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-04,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-05,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-05,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-05,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-05,BNB-USDT,TREND_UP,TrendUp,25.476117561513824
2020-12-06,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-06,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-06,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-06,BNB-USDT,TREND_UP,TrendUp,25.476117561513824
2020-12-07,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-07,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-07,SOL-USDT,SIDEWAYS,RangeMeanReversion,0.0
2020-12-07,BNB-USDT,TREND_UP,TrendUp,25.476117561513824
2020-12-08,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-08,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-08,SOL-USDT,TREND_DOWN,SWITCH_COOLDOWN,0.0
2020-12-08,BNB-USDT,TREND_UP,TrendUp,25.476117561513824
2020-12-09,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-09,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-09,SOL-USDT,TREND_DOWN,COOLDOWN,0.0
2020-12-09,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-10,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-10,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-10,SOL-USDT,TREND_DOWN,COOLDOWN,0.0
2020-12-10,BNB-USDT,TREND_UP,TrendUp,28.074200849302258
2020-12-11,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-11,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-11,SOL-USDT,TREND_DOWN,COOLDOWN,0.0
2020-12-11,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-12,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-12,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-12,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-12,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-13,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-13,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-13,SOL-USDT,TREND_DOWN,TrendDown,0.0
