signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2024-06-13,2024-06-14,BNB-USDT,sell,18.73308321883006,599.5001,11.230485262996943,0.2999,negative,TrendUp,Close below SMA30
2024-06-14,2024-06-15,BNB-USDT,buy,18.436057084305816,603.60165,11.12803447558118,0.30165,positive,TrendUp,signal
2024-06-15,2024-06-16,BNB-USDT,sell,18.436057084305816,607.8959000000001,11.207203513715461,0.30410000000000004,negative,Router,StateSwitch
2024-06-17,2024-06-18,BTC-USDT,buy,0.5126186444636271,66537.582165,34.108405175309514,33.252165000000005,positive,RangeMeanReversion,signal
2024-06-18,2024-06-19,BTC-USDT,sell,0.5126186444636271,65142.73234,33.39337914878769,32.58766,negative,Router,StateSwitch
2024-07-06,2024-07-07,SOL-USDT,short,49.62055349292576,142.97847500000003,7.09467106707445,0.071525,negative,TrendDown,signal
2024-07-10,2024-07-11,SOL-USDT,cover,49.62055349292576,142.060995,7.049145201655758,0.070995,positive,TrendDown,Close above SMA30
2024-07-12,2024-07-13,SOL-USDT,short,50.77704151545888,139.40026500000002,7.0783330431709715,0.069735,negative,TrendDown,signal
2024-07-13,2024-07-14,SOL-USDT,cover,50.77704151545888,141.96094499999998,7.208356797838775,0.070945,positive,TrendDown,Close above SMA30
2024-07-14,2024-07-15,BTC-USDT,short,0.2174817203785663,60767.51104500001,13.21582284519013,30.398955,negative,TrendDown,signal
2024-07-15,2024-07-16,BTC-USDT,cover,0.2174817203785663,64756.422029999994,14.08333806864489,32.36203,positive,TrendDown,Close above SMA30
2024-07-31,2024-08-01,ETH-USDT,short,3.5156185683554413,3231.12363,11.359398230280036,1.6163699999999999,negative,TrendDown,signal
2024-08-02,2024-08-03,BTC-USDT,buy,0.19446767670330117,61529.08916999999,11.965419020560148,30.74917,positive,TrendUp,signal
2024-08-02,2024-08-03,SOL-USDT,buy,43.93149811830996,152.85639,6.715210209656654,0.07639,positive,TrendUp,signal
2024-08-03,2024-08-04,BTC-USDT,sell,0.19446767670330117,60667.641005,11.797895197312277,30.348995,negative,TrendUp,Close below SMA30
2024-08-03,2024-08-04,BNB-USDT,buy,21.8330077742461,529.9648500000001,11.570726690127168,0.26485000000000003,positive,TrendUp,signal
2024-08-03,2024-08-04,SOL-USDT,sell,43.93149811830996,142.45873500000002,6.258425648589318,0.07126500000000001,negative,TrendUp,Close below SMA30
2024-08-04,2024-08-05,BNB-USDT,sell,21.8330077742461,496.65155,10.843397152241375,0.24845,negative,TrendUp,Close below SMA30
2024-08-17,2024-08-18,BNB-USDT,short,18.823261595068956,541.42915,10.19146252564583,0.27085000000000004,negative,TrendDown,signal
2024-08-19,2024-08-20,BNB-USDT,cover,18.823261595068956,558.7792499999999,10.518047996646434,0.27925,positive,TrendDown,Close above SMA30
2024-08-21,2024-08-22,BTC-USDT,short,0.1722374079858896,61125.451985,10.528089411862352,30.578015,negative,TrendDown,signal
2024-08-23,2024-08-24,ETH-USDT,cover,3.5156185683554413,2763.871245,9.716717069465671,1.3812449999999998,positive,TrendDown,Stop/Trail hit
2024-08-23,2024-08-24,BTC-USDT,cover,0.1722374079858896,64069.25861999999,11.035123036286414,32.01862,positive,TrendDown,Close above SMA30
2024-08-23,2024-08-24,SOL-USDT,short,49.53223113487055,153.19336500000003,7.58800916350859,0.07663500000000001,negative,TrendDown,signal
2024-08-24,2024-08-25,ETH-USDT,short,3.4018440104598957,2766.6259950000003,9.4116300702734,1.3840050000000002,negative,TrendDown,signal
2024-08-24,2024-08-25,SOL-USDT,cover,49.53223113487055,160.75033499999998,7.96232274822787,0.08033499999999999,positive,TrendDown,Close above SMA30
2024-09-02,2024-09-03,BTC-USDT,short,0.19922976733748976,59102.553940000005,11.77498807051764,29.56606,negative,TrendDown,signal
2024-09-13,2024-09-14,BTC-USDT,cover,0.19922976733748976,60528.23899499999,12.059026972321824,30.248995,positive,TrendDown,Close above SMA30
2024-09-13,2024-09-14,SOL-USDT,short,58.552998977871226,138.95049000000003,8.135967898944708,0.06951,negative,TrendDown,signal
2024-09-19,2024-09-20,SOL-USDT,cover,58.552998977871226,142.95144,8.370235520205219,0.07144,positive,TrendDown,Close above SMA30
2024-09-20,2024-09-21,ETH-USDT,cover,3.4018440104598957,2562.6807,8.717839990016174,1.2807000000000002,positive,TrendDown,Close above SMA30
2024-10-01,2024-10-02,BNB-USDT,buy,20.61636963125913,547.4736,11.28691810095611,0.2736,positive,TrendUp,signal
